train/epoch,train/loss,train/log_prob,train/kl,train/physics_temporal,train/physics_momentum,train/physics_contact,train/physics_total_physics,debug/MSE improvement over random Mean,debug/MSE improvement over random Std,debug/MSE improvement over random Max,debug/MSE improvement over random Min,debug/MSE of random decoding Mean,debug/MSE of random decoding Std,debug/MSE of random decoding Max,debug/MSE of random decoding Min,debug/MSE of reconstruction,test/Log Prob,test/KL,test/loss,beta
72,26741.64732421875,-13368.5501953125,29.06057409286499,0.021341668069362642,0.04072978686541319,0.0004123577149584889,0.06248381268233061,0.016236356,0.0047727535,0.025914654,0.0058309864,0.01946006,0.09051453,1.0,0.0,0.0032237032,-13454.21025390625,42.29952964782715,13457.51484375,0.078125
73,26740.88462890625,-13368.16607421875,29.09546236038208,0.021219911929219962,0.04124391466379165,0.0001578307570889592,0.062621657140553,0.032075346,0.00442394,0.041171957,0.021417685,0.035785936,0.12830165,1.0,0.0,0.0037105936,-13462.66591796875,48.819739532470706,13466.47998046875,0.078125
74,26727.75392578125,-13361.60638671875,29.024000263214113,0.02102335385978222,0.0408790635317564,0.0002440750878304243,0.06214649248868227,0.006831504,0.0025675993,0.0129916575,0.0015414839,0.010470674,0.052278068,0.99999976,0.0,0.0036391693,-13469.07265625,43.295746612548825,13472.45498046875,0.078125
75,26732.74203125,-13364.115400390625,28.832758750915527,0.020796084534376858,0.04021085951477289,0.0002449934650212526,0.06125193737447262,0.020837642,0.0032355252,0.026637431,0.008835852,0.023719672,0.09399301,1.0,0.0,0.0028820233,-13449.8998046875,45.003343963623045,13453.415625,0.078125
76,26729.4591796875,-13362.454287109374,29.08330358505249,0.021285983603447675,0.04117127882316709,0.0003127849055454135,0.0627700474858284,0.009436912,0.0037921916,0.017296115,0.001921759,0.013030692,0.0594306,0.99984455,0.0,0.00359378,-13470.4447265625,42.66319465637207,13473.77783203125,0.078125
77,26726.533671875,-13360.987744140624,29.133137073516846,0.02047794487327337,0.039832555875182155,0.0003973838360980153,0.06070788484066725,0.009436628,0.0029737926,0.019240048,0.0021946498,0.01239251,0.07089053,1.0,0.0,0.0029558816,-13462.91103515625,44.04632720947266,13466.35224609375,0.078125
78,26731.98783203125,-13363.773486328126,28.382593746185304,0.020563573734834792,0.040124811381101605,7.716270629316568e-05,0.06076554730534554,0.012625126,0.0043618646,0.020346647,0.0011357602,0.016252387,0.06654631,0.99999964,0.0,0.003627265,-13463.78193359375,43.939640808105466,13467.21474609375,0.078125
79,26732.680859375,-13364.107724609376,28.54013023376465,0.02066777354106307,0.04023537334054708,7.988104596734047e-05,0.0609830280393362,0.007814846,0.0031220596,0.016249388,0.0024713948,0.010443167,0.048586633,0.99895734,0.0,0.0026283218,-13455.01728515625,42.942168426513675,13458.37216796875,0.078125
80,26729.2466015625,-13362.379228515625,28.6831573677063,0.020892813932150603,0.04045429788529873,0.0003232762310653925,0.06167038809508085,0.042328663,0.0033677802,0.049793676,0.028200084,0.04369927,0.14275634,1.0,0.0,0.0013706129,-13448.770703125,46.10987548828125,13452.37314453125,0.078125
81,26733.91943359375,-13364.746201171874,28.294352722167968,0.02085778795182705,0.04049302019178867,0.0002455781679600477,0.06159638646990061,0.032881558,0.0047732308,0.041236095,0.01817426,0.037180707,0.1264232,1.0,0.0,0.0042991475,-13451.0849609375,42.68568077087402,13454.419921875,0.078125
82,26728.823515625,-13362.179609375,28.53169948577881,0.020854199565947057,0.04055807776749134,0.00023097619414329528,0.06164325352758169,0.0258434,0.004951678,0.034581788,0.011688902,0.031228496,0.120342046,1.0,0.0,0.005385087,-13457.8357421875,43.188697052001956,13461.20986328125,0.078125
83,26734.87109375,-13365.188388671875,28.723707008361817,0.02093982635997236,0.0407345063611865,0.00039350690320134164,0.0620678399130702,0.019000433,0.0037942883,0.02576624,0.008525715,0.022903815,0.10390713,1.0,0.0,0.0039033804,-13461.69462890625,41.572390747070315,13464.94248046875,0.078125
84,26732.68416015625,-13364.141396484374,28.129041633605958,0.020863399561494588,0.04001245161518455,0.00046909999568015335,0.061344951279461386,0.03724454,0.0028732477,0.041992165,0.029390682,0.038472388,0.13464008,1.0,0.0,0.00122785,-13464.60693359375,41.95231742858887,13467.88447265625,0.078125
85,26732.57625,-13364.07154296875,28.332758083343506,0.020891706515103577,0.0403975984826684,0.00014134114142507314,0.06143064636737108,0.036244325,0.0024125485,0.040433817,0.029451437,0.03739126,0.13408816,1.0,0.0,0.0011469282,-13448.1546875,41.606096267700195,13451.40517578125,0.078125
86,26730.6798046875,-13363.13732421875,28.153491592407228,0.0205914256349206,0.04005012452602386,0.00015920595731586218,0.060800756178796295,0.018093716,0.0034687452,0.025343888,0.007873861,0.022020586,0.10319881,1.0,0.0,0.0039268676,-13448.52568359375,40.81942520141602,13451.71474609375,0.078125
87,26731.14044921875,-13363.3709375,28.11239038467407,0.020414908034726977,0.039818782787770034,0.00022800062783062458,0.06046169139444828,0.011315148,0.003650091,0.01895974,0.0012973549,0.013863515,0.061760314,0.99997497,0.0,0.0025483682,-13431.99189453125,42.51718368530273,13435.31357421875,0.078125
